label	CO2e (kg)	text (metric)	text (imperial)	url suffix (for deep linking)	x offset	y offset	category	source	link
club penguin (yearly)	136,291,584	136kt	150k t	club_penguin	-3		web	David's research	https://spreadsheets3.google.com/ccc?key=pYbJeoogpFN_3p_j362wvMg&hl=en_GB#gid=1
gas patio heater per year	50	50kg	110lbs	patio_heater		-27	energy	Guardian	http://www.guardian.co.uk/environment/2009/jul/30/greenwash-patio-heaters
New York to London (per person)	610	610kg	1,345lbs	flights_NY_London		2	transport	JP Morgan	http://www.jpmorganclimatecare.com/
New York to LA (per person)	438	438kg	966lbs	flights_NY_LA		2	transport	JP Morgan	http://www.jpmorganclimatecare.com/
New York to Miami (per person)	193	193kg	425lbs	flights_NY_Miami		2	transport	JP Morgan	http://www.jpmorganclimatecare.com/
Sydney to Melbourne (per person)	83	83kg	183lbs	flights_Sydney_Melbourne		2	transport	JP Morgan	http://www.jpmorganclimatecare.com/
London to Tokyo (per person)	1,056	1056kg	2,329lbs	flights_London_Tokyo		2	transport	How Bad Are Bananas?	http://www.amazon.com/How-Bad-are-Bananas-Everything/dp/1846688914
									
all web searches worldwide (yearly)	22,600,000	22,600t	28,000t	web_search_global_yearly	-17	-17	web	ComScore	http://www.comscore.com/Press_Events/Press_Releases/2009/8/Global_Search_Market_Draws_More_than_100_Billion_Searches_per_Month
web searches US	5,019,000	5,019t	5532t	web_search_usa	-17	-17	web	ComScore	http://www.comscore.com/Press_Events/Press_Releases/2009/8/Global_Search_Market_Draws_More_than_100_Billion_Searches_per_Month
electricity USA yearly	2,400,000,000,000	2.4bn t	2.64bn t	electricity_usa			energy	Google	http://knol.google.com/k/clean-energy-2030#
shipping worldwide	1,210,000,000,000	1,2bn t	1,100 Mt	shipping_worldwide				Guardian	http://www.guardian.co.uk/environment/2008/feb/13/climatechange.pollution1
aviation worldwide	537,000,000,000	537m t	487 Mt	aviation_worldwide				Guardian	http://www.guardian.co.uk/environment/2008/feb/13/climatechange.pollution1
electricity worldwide	6,432,000,000,000	6.4bn t	5835 Mt	electricity_worldwide				Guardian	http://www.guardian.co.uk/environment/2008/feb/13/climatechange.pollution1
